t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.798799999999999955e+01,2.201200000000000045e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.824599999999999866e+01,2.175400000000000134e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.811700000000000088e+01,2.188299999999999912e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.811700000000000088e+01,2.188299999999999912e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.824599999999999866e+01,2.175400000000000134e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.818199999999999861e+01,2.181800000000000139e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.821399999999999864e+01,2.178600000000000136e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.811700000000000088e+01,2.188299999999999912e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.818199999999999861e+01,2.181800000000000139e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,2.824599999999999866e+01,2.175400000000000134e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.831099999999999994e+01,2.168900000000000006e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.837500000000000000e+01,2.162500000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.834299999999999997e+01,2.165700000000000003e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.834299999999999997e+01,2.165700000000000003e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.847200000000000131e+01,2.152799999999999869e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.856800000000000139e+01,2.143199999999999861e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.860099999999999909e+01,2.139900000000000091e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.863299999999999912e+01,2.136700000000000088e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.869699999999999918e+01,2.130300000000000082e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.895499999999999829e+01,2.104500000000000171e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.901999999999999957e+01,2.098000000000000043e+01
2.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.911599999999999966e+01,2.088400000000000034e+01
2.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.918100000000000094e+01,2.081899999999999906e+01
2.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.937399999999999878e+01,2.062600000000000122e+01
2.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.953500000000000014e+01,2.046499999999999986e+01
2.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.956700000000000017e+01,2.043299999999999983e+01
2.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.982499999999999929e+01,2.017500000000000071e+01
2.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,2.992200000000000060e+01,2.007799999999999940e+01
2.800000000000000000e+01,5.000000000000000000e+01,9.974500000000000455e+01,3.005099999999999838e+01,1.994900000000000162e+01
2.900000000000000000e+01,5.000000000000000000e+01,9.878000000000000114e+01,3.024399999999999977e+01,1.975600000000000023e+01
3.000000000000000000e+01,5.000000000000000000e+01,9.797499999999999432e+01,3.040500000000000114e+01,1.959499999999999886e+01
3.100000000000000000e+01,5.000000000000000000e+01,9.717000000000000171e+01,3.056599999999999895e+01,1.943400000000000105e+01
