t,Tref,u,T1,e
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.066300000000000026e+01,1.933699999999999974e+01
1.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.085600000000000165e+01,1.914399999999999835e+01
2.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.088899999999999935e+01,1.911100000000000065e+01
3.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.092099999999999937e+01,1.907900000000000063e+01
4.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.105000000000000071e+01,1.894999999999999929e+01
5.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.108200000000000074e+01,1.891799999999999926e+01
6.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.117899999999999849e+01,1.882100000000000151e+01
7.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.121099999999999852e+01,1.878900000000000148e+01
8.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.127499999999999858e+01,1.872500000000000142e+01
9.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+02,3.150100000000000122e+01,1.849899999999999878e+01
1.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.153300000000000125e+01,1.846699999999999875e+01
1.100000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.156500000000000128e+01,1.843499999999999872e+01
1.200000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.179100000000000037e+01,1.820899999999999963e+01
1.300000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.185500000000000043e+01,1.814499999999999957e+01
1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.198400000000000176e+01,1.801599999999999824e+01
1.500000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.211299999999999955e+01,1.788700000000000045e+01
1.600000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.243599999999999994e+01,1.756400000000000006e+01
1.700000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.250000000000000000e+01,1.750000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.262899999999999778e+01,1.737100000000000222e+01
1.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.278999999999999915e+01,1.721000000000000085e+01
2.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+02,3.301599999999999824e+01,1.698400000000000176e+01
